unit,year_month,fully_vac_rate
New Bedford-asian,2021-11,0.51
New Bedford-black,2021-11,0.52
New Bedford-hispanic,2021-11,0.42
New Bedford-white,2021-11,0.49
Peabody-asian,2021-11,0.6
Peabody-black,2021-11,0.55
Peabody-hispanic,2021-11,0.55
Peabody-white,2021-11,0.64
Revere-asian,2021-11,0.69
Revere-black,2021-11,0.52
Revere-hispanic,2021-11,0.6
Revere-white,2021-11,0.64
Southbridge-asian,2021-11,0.56
Southbridge-black,2021-11,0.46
Southbridge-hispanic,2021-11,0.74
Southbridge-white,2021-11,0.47
Springfield-asian,2021-11,0.57
Springfield-black,2021-11,0.46
Springfield-hispanic,2021-11,0.37
Springfield-white,2021-11,0.63
Waltham-asian,2021-11,0.57
Waltham-black,2021-11,0.61
Waltham-hispanic,2021-11,0.49
Waltham-white,2021-11,0.65
Worcester-asian,2021-11,0.62
Worcester-black,2021-11,0.47
Worcester-hispanic,2021-11,0.46
Worcester-white,2021-11,0.58
Bellingham-asian,2021-12,0.57
Bellingham-black,2021-12,0.61
Bellingham-hispanic,2021-12,0.74
Bellingham-white,2021-12,0.6
Chelsea-asian,2021-12,0.6
Chelsea-black,2021-12,0.5
Chelsea-hispanic,2021-12,0.62
Chelsea-white,2021-12,0.76
Chicopee-asian,2021-12,0.54
Chicopee-black,2021-12,0.47
Chicopee-hispanic,2021-12,0.41
Chicopee-white,2021-12,0.62
Everett-asian,2021-12,0.67
Everett-black,2021-12,0.37
Everett-hispanic,2021-12,0.54
Everett-white,2021-12,0.65
Fitchburg-asian,2021-12,0.62
Fitchburg-black,2021-12,0.48
Fitchburg-hispanic,2021-12,0.44
Fitchburg-white,2021-12,0.59
Haverhill-asian,2021-12,0.61
Haverhill-black,2021-12,0.57
Haverhill-hispanic,2021-12,0.4
Haverhill-white,2021-12,0.64
Holyoke-asian,2021-12,0.63
Holyoke-black,2021-12,0.54
Holyoke-hispanic,2021-12,0.41
Holyoke-white,2021-12,0.7
Lawrence-asian,2021-12,0.66
Lawrence-black,2021-12,1.0
Lawrence-hispanic,2021-12,0.42
Lawrence-white,2021-12,0.92
Leominster-asian,2021-12,0.65
Leominster-black,2021-12,0.55
Leominster-hispanic,2021-12,0.51
Leominster-white,2021-12,0.69
Lynn-asian,2021-12,0.65
Lynn-black,2021-12,0.5
Lynn-hispanic,2021-12,0.49
Lynn-white,2021-12,0.72
Marlborough-asian,2021-12,0.55
Marlborough-black,2021-12,0.57
Marlborough-hispanic,2021-12,0.83
Marlborough-white,2021-12,0.63
Methuen-asian,2021-12,0.57
Methuen-black,2021-12,0.67
Methuen-hispanic,2021-12,0.42
Methuen-white,2021-12,0.61
Milford-asian,2021-12,0.53
Milford-black,2021-12,0.65
Milford-hispanic,2021-12,0.87
Milford-white,2021-12,0.67
New Bedford-asian,2021-12,0.54
New Bedford-black,2021-12,0.55
New Bedford-hispanic,2021-12,0.45
New Bedford-white,2021-12,0.51
Peabody-asian,2021-12,0.61
Peabody-black,2021-12,0.57
Peabody-hispanic,2021-12,0.58
Peabody-white,2021-12,0.66
Revere-asian,2021-12,0.71
Revere-black,2021-12,0.53
Revere-hispanic,2021-12,0.63
Revere-white,2021-12,0.66
Southbridge-asian,2021-12,0.6
Southbridge-black,2021-12,0.51
Southbridge-hispanic,2021-12,0.74
Southbridge-white,2021-12,0.49
Springfield-asian,2021-12,0.59
Springfield-black,2021-12,0.48
Springfield-hispanic,2021-12,0.39
Springfield-white,2021-12,0.65
Waltham-asian,2021-12,0.6
Waltham-black,2021-12,0.64
Waltham-hispanic,2021-12,0.52
Waltham-white,2021-12,0.68
Worcester-asian,2021-12,0.64
Worcester-black,2021-12,0.49
Worcester-hispanic,2021-12,0.47
Worcester-white,2021-12,0.6
Bellingham-asian,2022-01,0.59
Bellingham-black,2022-01,0.61
Bellingham-hispanic,2022-01,0.75
Bellingham-white,2022-01,0.61
Chelsea-asian,2022-01,0.6
Chelsea-black,2022-01,0.52
Chelsea-hispanic,2022-01,0.65
Chelsea-white,2022-01,0.77
Chicopee-asian,2022-01,0.57
Chicopee-black,2022-01,0.49
Chicopee-hispanic,2022-01,0.43
Chicopee-white,2022-01,0.63
Everett-asian,2022-01,0.69
Everett-black,2022-01,0.39
Everett-hispanic,2022-01,0.57
Everett-white,2022-01,0.66
Fitchburg-asian,2022-01,0.65
Fitchburg-black,2022-01,0.5
Fitchburg-hispanic,2022-01,0.47
Fitchburg-white,2022-01,0.6
Haverhill-asian,2022-01,0.63
Haverhill-black,2022-01,0.59
Haverhill-hispanic,2022-01,0.43
Haverhill-white,2022-01,0.66
Holyoke-asian,2022-01,0.64
Holyoke-black,2022-01,0.56
Holyoke-hispanic,2022-01,0.42
Holyoke-white,2022-01,0.72
Lawrence-asian,2022-01,0.66
Lawrence-black,2022-01,1.0
Lawrence-hispanic,2022-01,0.45
Lawrence-white,2022-01,0.92
Leominster-asian,2022-01,0.68
Leominster-black,2022-01,0.58
Leominster-hispanic,2022-01,0.54
Leominster-white,2022-01,0.71
Lynn-asian,2022-01,0.68
Lynn-black,2022-01,0.52
Lynn-hispanic,2022-01,0.51
Lynn-white,2022-01,0.74
Marlborough-asian,2022-01,0.56
Marlborough-black,2022-01,0.58
Marlborough-hispanic,2022-01,0.86
Marlborough-white,2022-01,0.63
Methuen-asian,2022-01,0.58
Methuen-black,2022-01,0.67
Methuen-hispanic,2022-01,0.45
Methuen-white,2022-01,0.62
Milford-asian,2022-01,0.54
Milford-black,2022-01,0.65
Milford-hispanic,2022-01,0.92
Milford-white,2022-01,0.69
New Bedford-asian,2022-01,0.55
New Bedford-black,2022-01,0.57
New Bedford-hispanic,2022-01,0.47
New Bedford-white,2022-01,0.52
Peabody-asian,2022-01,0.64
Peabody-black,2022-01,0.6
Peabody-hispanic,2022-01,0.61
Peabody-white,2022-01,0.67
Revere-asian,2022-01,0.73
Revere-black,2022-01,0.54
Revere-hispanic,2022-01,0.65
Revere-white,2022-01,0.67
Southbridge-asian,2022-01,0.61
Southbridge-black,2022-01,0.54
Southbridge-hispanic,2022-01,0.74
Southbridge-white,2022-01,0.5
Springfield-asian,2022-01,0.61
Springfield-black,2022-01,0.5
Springfield-hispanic,2022-01,0.41
Springfield-white,2022-01,0.67
Waltham-asian,2022-01,0.62
Waltham-black,2022-01,0.66
Waltham-hispanic,2022-01,0.54
Waltham-white,2022-01,0.69
Worcester-asian,2022-01,0.66
Worcester-black,2022-01,0.51
Worcester-hispanic,2022-01,0.49
Worcester-white,2022-01,0.61
Bellingham-asian,2022-02,0.59
Bellingham-black,2022-02,0.61
Bellingham-hispanic,2022-02,0.75
Bellingham-white,2022-02,0.62
Chelsea-asian,2022-02,0.6
Chelsea-black,2022-02,0.54
Chelsea-hispanic,2022-02,0.68
Chelsea-white,2022-02,0.78
Chicopee-asian,2022-02,0.59
Chicopee-black,2022-02,0.51
Chicopee-hispanic,2022-02,0.45
Chicopee-white,2022-02,0.64
Everett-asian,2022-02,0.7
Everett-black,2022-02,0.4
Everett-hispanic,2022-02,0.6
Everett-white,2022-02,0.67
Fitchburg-asian,2022-02,0.67
Fitchburg-black,2022-02,0.52
Fitchburg-hispanic,2022-02,0.49
Fitchburg-white,2022-02,0.61
Haverhill-asian,2022-02,0.64
Haverhill-black,2022-02,0.61
Haverhill-hispanic,2022-02,0.45
Haverhill-white,2022-02,0.67
Holyoke-asian,2022-02,0.67
Holyoke-black,2022-02,0.59
Holyoke-hispanic,2022-02,0.44
Holyoke-white,2022-02,0.73
Lawrence-asian,2022-02,0.67
Lawrence-black,2022-02,1.0
Lawrence-hispanic,2022-02,0.48
Lawrence-white,2022-02,0.92
Leominster-asian,2022-02,0.7
Leominster-black,2022-02,0.61
Leominster-hispanic,2022-02,0.57
Leominster-white,2022-02,0.72
Lynn-asian,2022-02,0.7
Lynn-black,2022-02,0.54
Lynn-hispanic,2022-02,0.53
Lynn-white,2022-02,0.75
Marlborough-asian,2022-02,0.56
Marlborough-black,2022-02,0.59
Marlborough-hispanic,2022-02,0.9
Marlborough-white,2022-02,0.64
Methuen-asian,2022-02,0.59
Methuen-black,2022-02,0.67
Methuen-hispanic,2022-02,0.47
Methuen-white,2022-02,0.63
Milford-asian,2022-02,0.55
Milford-black,2022-02,0.65
Milford-hispanic,2022-02,0.96
Milford-white,2022-02,0.69
New Bedford-asian,2022-02,0.56
New Bedford-black,2022-02,0.59
New Bedford-hispanic,2022-02,0.5
New Bedford-white,2022-02,0.53
Peabody-asian,2022-02,0.66
Peabody-black,2022-02,0.64
Peabody-hispanic,2022-02,0.64
Peabody-white,2022-02,0.69
Revere-asian,2022-02,0.74
Revere-black,2022-02,0.56
Revere-hispanic,2022-02,0.68
Revere-white,2022-02,0.68
Southbridge-asian,2022-02,0.61
Southbridge-black,2022-02,0.55
Southbridge-hispanic,2022-02,0.74
Southbridge-white,2022-02,0.51
Springfield-asian,2022-02,0.62
Springfield-black,2022-02,0.52
Springfield-hispanic,2022-02,0.43
Springfield-white,2022-02,0.68
Waltham-asian,2022-02,0.64
Waltham-black,2022-02,0.68
Waltham-hispanic,2022-02,0.56
Waltham-white,2022-02,0.69
Worcester-asian,2022-02,0.68
Worcester-black,2022-02,0.53
Worcester-hispanic,2022-02,0.51
Worcester-white,2022-02,0.62
Bellingham-asian,2022-03,0.59
Bellingham-black,2022-03,0.61
Bellingham-hispanic,2022-03,0.75
Bellingham-white,2022-03,0.63
Chelsea-asian,2022-03,0.6
Chelsea-black,2022-03,0.55
Chelsea-hispanic,2022-03,0.69
Chelsea-white,2022-03,0.78
Chicopee-asian,2022-03,0.59
Chicopee-black,2022-03,0.52
Chicopee-hispanic,2022-03,0.46
Chicopee-white,2022-03,0.65
Everett-asian,2022-03,0.71
Everett-black,2022-03,0.41
Everett-hispanic,2022-03,0.61
Everett-white,2022-03,0.68
Fitchburg-asian,2022-03,0.69
Fitchburg-black,2022-03,0.54
Fitchburg-hispanic,2022-03,0.5
Fitchburg-white,2022-03,0.62
Haverhill-asian,2022-03,0.65
Haverhill-black,2022-03,0.62
Haverhill-hispanic,2022-03,0.47
Haverhill-white,2022-03,0.67
Holyoke-asian,2022-03,0.69
Holyoke-black,2022-03,0.6
Holyoke-hispanic,2022-03,0.45
Holyoke-white,2022-03,0.74
Lawrence-asian,2022-03,0.67
Lawrence-black,2022-03,1.0
Lawrence-hispanic,2022-03,0.5
Lawrence-white,2022-03,0.92
Leominster-asian,2022-03,0.71
Leominster-black,2022-03,0.62
Leominster-hispanic,2022-03,0.58
Leominster-white,2022-03,0.73
Lynn-asian,2022-03,0.71
Lynn-black,2022-03,0.56
Lynn-hispanic,2022-03,0.55
Lynn-white,2022-03,0.76
Marlborough-asian,2022-03,0.57
Marlborough-black,2022-03,0.61
Marlborough-hispanic,2022-03,0.93
Marlborough-white,2022-03,0.65
Methuen-asian,2022-03,0.59
Methuen-black,2022-03,0.67
Methuen-hispanic,2022-03,0.49
Methuen-white,2022-03,0.63
Milford-asian,2022-03,0.55
Milford-black,2022-03,0.65
Milford-hispanic,2022-03,0.98
Milford-white,2022-03,0.7
New Bedford-asian,2022-03,0.56
New Bedford-black,2022-03,0.61
New Bedford-hispanic,2022-03,0.52
New Bedford-white,2022-03,0.53
Peabody-asian,2022-03,0.66
Peabody-black,2022-03,0.64
Peabody-hispanic,2022-03,0.66
Peabody-white,2022-03,0.69
Revere-asian,2022-03,0.75
Revere-black,2022-03,0.57
Revere-hispanic,2022-03,0.69
Revere-white,2022-03,0.69
Southbridge-asian,2022-03,0.62
Southbridge-black,2022-03,0.59
Southbridge-hispanic,2022-03,0.75
Southbridge-white,2022-03,0.53
Springfield-asian,2022-03,0.63
Springfield-black,2022-03,0.53
Springfield-hispanic,2022-03,0.44
Springfield-white,2022-03,0.68
Waltham-asian,2022-03,0.64
Waltham-black,2022-03,0.69
Waltham-hispanic,2022-03,0.57
Waltham-white,2022-03,0.7
Worcester-asian,2022-03,0.68
Worcester-black,2022-03,0.54
Worcester-hispanic,2022-03,0.53
Worcester-white,2022-03,0.62
Bellingham-asian,2022-04,0.61
Bellingham-black,2022-04,0.61
Bellingham-hispanic,2022-04,0.75
Bellingham-white,2022-04,0.63
Chelsea-asian,2022-04,0.6
Chelsea-black,2022-04,0.55
Chelsea-hispanic,2022-04,0.7
Chelsea-white,2022-04,0.78
Chicopee-asian,2022-04,0.59
Chicopee-black,2022-04,0.53
Chicopee-hispanic,2022-04,0.46
Chicopee-white,2022-04,0.65
Everett-asian,2022-04,0.71
Everett-black,2022-04,0.42
Everett-hispanic,2022-04,0.61
Everett-white,2022-04,0.68
Fitchburg-asian,2022-04,0.69
Fitchburg-black,2022-04,0.54
Fitchburg-hispanic,2022-04,0.51
Fitchburg-white,2022-04,0.62
Haverhill-asian,2022-04,0.65
Haverhill-black,2022-04,0.63
Haverhill-hispanic,2022-04,0.48
Haverhill-white,2022-04,0.68
Holyoke-asian,2022-04,0.69
Holyoke-black,2022-04,0.61
Holyoke-hispanic,2022-04,0.46
Holyoke-white,2022-04,0.74
Lawrence-asian,2022-04,0.67
Lawrence-black,2022-04,1.0
Lawrence-hispanic,2022-04,0.51
Lawrence-white,2022-04,0.92
Leominster-asian,2022-04,0.71
Leominster-black,2022-04,0.63
Leominster-hispanic,2022-04,0.59
Leominster-white,2022-04,0.73
Lynn-asian,2022-04,0.71
Lynn-black,2022-04,0.56
Lynn-hispanic,2022-04,0.55
Lynn-white,2022-04,0.76
Marlborough-asian,2022-04,0.57
Marlborough-black,2022-04,0.61
Marlborough-hispanic,2022-04,0.93
Marlborough-white,2022-04,0.65
Methuen-asian,2022-04,0.59
Methuen-black,2022-04,0.67
Methuen-hispanic,2022-04,0.5
Methuen-white,2022-04,0.63
Milford-asian,2022-04,0.55
Milford-black,2022-04,0.65
Milford-hispanic,2022-04,0.99
Milford-white,2022-04,0.7
New Bedford-asian,2022-04,0.56
New Bedford-black,2022-04,0.62
New Bedford-hispanic,2022-04,0.53
New Bedford-white,2022-04,0.54
Peabody-asian,2022-04,0.67
Peabody-black,2022-04,0.65
Peabody-hispanic,2022-04,0.67
Peabody-white,2022-04,0.69
Revere-asian,2022-04,0.75
Revere-black,2022-04,0.58
Revere-hispanic,2022-04,0.7
Revere-white,2022-04,0.69
Southbridge-asian,2022-04,0.62
Southbridge-black,2022-04,0.6
Southbridge-hispanic,2022-04,0.75
Southbridge-white,2022-04,0.53
Springfield-asian,2022-04,0.64
Springfield-black,2022-04,0.54
Springfield-hispanic,2022-04,0.45
Springfield-white,2022-04,0.69
Waltham-asian,2022-04,0.64
Waltham-black,2022-04,0.7
Waltham-hispanic,2022-04,0.58
Waltham-white,2022-04,0.7
Worcester-asian,2022-04,0.69
Worcester-black,2022-04,0.55
Worcester-hispanic,2022-04,0.53
Worcester-white,2022-04,0.62
Bellingham-asian,2022-05,0.61
Bellingham-black,2022-05,0.61
Bellingham-hispanic,2022-05,0.75
Bellingham-white,2022-05,0.63
Chelsea-asian,2022-05,0.6
Chelsea-black,2022-05,0.56
Chelsea-hispanic,2022-05,0.7
Chelsea-white,2022-05,0.79
Chicopee-asian,2022-05,0.59
Chicopee-black,2022-05,0.54
Chicopee-hispanic,2022-05,0.47
Chicopee-white,2022-05,0.66
Everett-asian,2022-05,0.72
Everett-black,2022-05,0.42
Everett-hispanic,2022-05,0.62
Everett-white,2022-05,0.68
Fitchburg-asian,2022-05,0.69
Fitchburg-black,2022-05,0.55
Fitchburg-hispanic,2022-05,0.51
Fitchburg-white,2022-05,0.62
Haverhill-asian,2022-05,0.66
Haverhill-black,2022-05,0.63
Haverhill-hispanic,2022-05,0.49
Haverhill-white,2022-05,0.68
Holyoke-asian,2022-05,0.69
Holyoke-black,2022-05,0.62
Holyoke-hispanic,2022-05,0.47
Holyoke-white,2022-05,0.75
Lawrence-asian,2022-05,0.67
Lawrence-black,2022-05,1.0
Lawrence-hispanic,2022-05,0.51
Lawrence-white,2022-05,0.92
Leominster-asian,2022-05,0.72
Leominster-black,2022-05,0.64
Leominster-hispanic,2022-05,0.59
Leominster-white,2022-05,0.73
Lynn-asian,2022-05,0.71
Lynn-black,2022-05,0.57
Lynn-hispanic,2022-05,0.56
Lynn-white,2022-05,0.77
Marlborough-asian,2022-05,0.57
Marlborough-black,2022-05,0.62
Marlborough-hispanic,2022-05,0.94
Marlborough-white,2022-05,0.65
Methuen-asian,2022-05,0.6
Methuen-black,2022-05,0.67
Methuen-hispanic,2022-05,0.51
Methuen-white,2022-05,0.64
Milford-asian,2022-05,0.56
Milford-black,2022-05,0.65
Milford-hispanic,2022-05,1.0
Milford-white,2022-05,0.7
New Bedford-asian,2022-05,0.56
New Bedford-black,2022-05,0.62
New Bedford-hispanic,2022-05,0.54
New Bedford-white,2022-05,0.54
Peabody-asian,2022-05,0.67
Peabody-black,2022-05,0.65
Peabody-hispanic,2022-05,0.67
Peabody-white,2022-05,0.7
Revere-asian,2022-05,0.75
Revere-black,2022-05,0.59
Revere-hispanic,2022-05,0.7
Revere-white,2022-05,0.69
Southbridge-asian,2022-05,0.62
Southbridge-black,2022-05,0.61
Southbridge-hispanic,2022-05,0.75
Southbridge-white,2022-05,0.54
Springfield-asian,2022-05,0.64
Springfield-black,2022-05,0.55
Springfield-hispanic,2022-05,0.45
Springfield-white,2022-05,0.7
Waltham-asian,2022-05,0.65
Waltham-black,2022-05,0.7
Waltham-hispanic,2022-05,0.58
Waltham-white,2022-05,0.7
Worcester-asian,2022-05,0.69
Worcester-black,2022-05,0.56
Worcester-hispanic,2022-05,0.54
Worcester-white,2022-05,0.63
Bellingham-asian,2022-06,0.61
Bellingham-black,2022-06,0.61
Bellingham-hispanic,2022-06,0.75
Bellingham-white,2022-06,0.63
Chelsea-asian,2022-06,0.6
Chelsea-black,2022-06,0.56
Chelsea-hispanic,2022-06,0.71
Chelsea-white,2022-06,0.79
Chicopee-asian,2022-06,0.59
Chicopee-black,2022-06,0.55
Chicopee-hispanic,2022-06,0.47
Chicopee-white,2022-06,0.66
Everett-asian,2022-06,0.72
Everett-black,2022-06,0.42
Everett-hispanic,2022-06,0.62
Everett-white,2022-06,0.69
Fitchburg-asian,2022-06,0.7
Fitchburg-black,2022-06,0.55
Fitchburg-hispanic,2022-06,0.52
Fitchburg-white,2022-06,0.63
Haverhill-asian,2022-06,0.66
Haverhill-black,2022-06,0.63
Haverhill-hispanic,2022-06,0.49
Haverhill-white,2022-06,0.68
Holyoke-asian,2022-06,0.7
Holyoke-black,2022-06,0.62
Holyoke-hispanic,2022-06,0.47
Holyoke-white,2022-06,0.75
Lawrence-asian,2022-06,0.67
Lawrence-black,2022-06,1.0
Lawrence-hispanic,2022-06,0.51
Lawrence-white,2022-06,0.92
Leominster-asian,2022-06,0.72
Leominster-black,2022-06,0.64
Leominster-hispanic,2022-06,0.59
Leominster-white,2022-06,0.74
Lynn-asian,2022-06,0.72
Lynn-black,2022-06,0.57
Lynn-hispanic,2022-06,0.56
Lynn-white,2022-06,0.77
Marlborough-asian,2022-06,0.57
Marlborough-black,2022-06,0.62
Marlborough-hispanic,2022-06,0.94
Marlborough-white,2022-06,0.66
Methuen-asian,2022-06,0.6
Methuen-black,2022-06,0.67
Methuen-hispanic,2022-06,0.51
Methuen-white,2022-06,0.64
Milford-asian,2022-06,0.56
Milford-black,2022-06,0.65
Milford-hispanic,2022-06,1.0
Milford-white,2022-06,0.71
New Bedford-asian,2022-06,0.56
New Bedford-black,2022-06,0.63
New Bedford-hispanic,2022-06,0.54
New Bedford-white,2022-06,0.54
Peabody-asian,2022-06,0.67
Peabody-black,2022-06,0.65
Peabody-hispanic,2022-06,0.68
Peabody-white,2022-06,0.7
Revere-asian,2022-06,0.76
Revere-black,2022-06,0.59
Revere-hispanic,2022-06,0.7
Revere-white,2022-06,0.69
Southbridge-asian,2022-06,0.62
Southbridge-black,2022-06,0.61
Southbridge-hispanic,2022-06,0.75
Southbridge-white,2022-06,0.54
Springfield-asian,2022-06,0.64
Springfield-black,2022-06,0.55
Springfield-hispanic,2022-06,0.45
Springfield-white,2022-06,0.7
Waltham-asian,2022-06,0.65
Waltham-black,2022-06,0.7
Waltham-hispanic,2022-06,0.59
Waltham-white,2022-06,0.7
Worcester-asian,2022-06,0.69
Worcester-black,2022-06,0.56
Worcester-hispanic,2022-06,0.54
Worcester-white,2022-06,0.63
Bellingham-asian,2022-07,0.61
Bellingham-black,2022-07,0.7
Bellingham-hispanic,2022-07,0.85
Bellingham-white,2022-07,0.63
Chelsea-asian,2022-07,0.83
Chelsea-black,2022-07,0.56
Chelsea-hispanic,2022-07,0.71
Chelsea-white,2022-07,0.79
Chicopee-asian,2022-07,0.59
Chicopee-black,2022-07,0.55
Chicopee-hispanic,2022-07,0.47
Chicopee-white,2022-07,0.66
Everett-asian,2022-07,0.72
Everett-black,2022-07,0.43
Everett-hispanic,2022-07,0.62
Everett-white,2022-07,0.69
Fitchburg-asian,2022-07,0.7
Fitchburg-black,2022-07,0.55
Fitchburg-hispanic,2022-07,0.52
Fitchburg-white,2022-07,0.63
Haverhill-asian,2022-07,0.66
Haverhill-black,2022-07,0.63
Haverhill-hispanic,2022-07,0.49
Haverhill-white,2022-07,0.68
Holyoke-asian,2022-07,0.7
Holyoke-black,2022-07,0.63
Holyoke-hispanic,2022-07,0.47
Holyoke-white,2022-07,0.75
Lawrence-asian,2022-07,0.68
Lawrence-black,2022-07,1.0
Lawrence-hispanic,2022-07,0.51
Lawrence-white,2022-07,1.0
Leominster-asian,2022-07,0.72
Leominster-black,2022-07,0.65
Leominster-hispanic,2022-07,0.6
Leominster-white,2022-07,0.74
Lynn-asian,2022-07,0.72
Lynn-black,2022-07,0.58
Lynn-hispanic,2022-07,0.56
Lynn-white,2022-07,0.77
Marlborough-asian,2022-07,0.57
Marlborough-black,2022-07,0.63
Marlborough-hispanic,2022-07,0.94
Marlborough-white,2022-07,0.66
Methuen-asian,2022-07,0.6
Methuen-black,2022-07,0.77
Methuen-hispanic,2022-07,0.52
Methuen-white,2022-07,0.64
Milford-asian,2022-07,0.57
Milford-black,2022-07,0.74
Milford-hispanic,2022-07,1.0
Milford-white,2022-07,0.71
New Bedford-asian,2022-07,0.57
New Bedford-black,2022-07,0.63
New Bedford-hispanic,2022-07,0.55
New Bedford-white,2022-07,0.54
Peabody-asian,2022-07,0.67
Peabody-black,2022-07,0.66
Peabody-hispanic,2022-07,0.68
Peabody-white,2022-07,0.7
Revere-asian,2022-07,0.76
Revere-black,2022-07,0.59
Revere-hispanic,2022-07,0.71
Revere-white,2022-07,0.7
Southbridge-asian,2022-07,0.63
Southbridge-black,2022-07,0.62
Southbridge-hispanic,2022-07,0.75
Southbridge-white,2022-07,0.54
Springfield-asian,2022-07,0.64
Springfield-black,2022-07,0.55
Springfield-hispanic,2022-07,0.46
Springfield-white,2022-07,0.7
Waltham-asian,2022-07,0.65
Waltham-black,2022-07,0.7
Waltham-hispanic,2022-07,0.59
Waltham-white,2022-07,0.71
Worcester-asian,2022-07,0.69
Worcester-black,2022-07,0.57
Worcester-hispanic,2022-07,0.55
Worcester-white,2022-07,0.63
Bellingham-asian,2022-08,0.61
Bellingham-black,2022-08,0.71
Bellingham-hispanic,2022-08,0.86
Bellingham-white,2022-08,0.63
Chelsea-asian,2022-08,0.83
Chelsea-black,2022-08,0.57
Chelsea-hispanic,2022-08,0.72
Chelsea-white,2022-08,0.8
Chicopee-asian,2022-08,0.59
Chicopee-black,2022-08,0.55
Chicopee-hispanic,2022-08,0.47
Chicopee-white,2022-08,0.66
Everett-asian,2022-08,0.73
Everett-black,2022-08,0.43
Everett-hispanic,2022-08,0.62
Everett-white,2022-08,0.69
Fitchburg-asian,2022-08,0.7
Fitchburg-black,2022-08,0.56
Fitchburg-hispanic,2022-08,0.52
Fitchburg-white,2022-08,0.63
Haverhill-asian,2022-08,0.66
Haverhill-black,2022-08,0.64
Haverhill-hispanic,2022-08,0.5
Haverhill-white,2022-08,0.69
Holyoke-asian,2022-08,0.7
