unit,year_month,fully_vac_rate
Holyoke-black,2022-08,0.63
Holyoke-hispanic,2022-08,0.48
Holyoke-white,2022-08,0.76
Lawrence-asian,2022-08,0.68
Lawrence-black,2022-08,1.0
Lawrence-hispanic,2022-08,0.52
Lawrence-white,2022-08,1.0
Leominster-asian,2022-08,0.72
Leominster-black,2022-08,0.65
Leominster-hispanic,2022-08,0.6
Leominster-white,2022-08,0.74
Lynn-asian,2022-08,0.72
Lynn-black,2022-08,0.58
Lynn-hispanic,2022-08,0.56
Lynn-white,2022-08,0.77
Marlborough-asian,2022-08,0.57
Marlborough-black,2022-08,0.63
Marlborough-hispanic,2022-08,0.94
Marlborough-white,2022-08,0.66
Methuen-asian,2022-08,0.6
Methuen-black,2022-08,0.78
Methuen-hispanic,2022-08,0.52
Methuen-white,2022-08,0.64
Milford-asian,2022-08,0.57
Milford-black,2022-08,0.74
Milford-hispanic,2022-08,1.0
Milford-white,2022-08,0.71
New Bedford-asian,2022-08,0.57
New Bedford-black,2022-08,0.63
New Bedford-hispanic,2022-08,0.56
New Bedford-white,2022-08,0.54
Peabody-asian,2022-08,0.68
Peabody-black,2022-08,0.66
Peabody-hispanic,2022-08,0.69
Peabody-white,2022-08,0.7
Revere-asian,2022-08,0.76
Revere-black,2022-08,0.6
Revere-hispanic,2022-08,0.71
Revere-white,2022-08,0.7
Southbridge-asian,2022-08,0.63
Southbridge-black,2022-08,0.62
Southbridge-hispanic,2022-08,0.75
Southbridge-white,2022-08,0.54
Springfield-asian,2022-08,0.64
Springfield-black,2022-08,0.56
Springfield-hispanic,2022-08,0.46
Springfield-white,2022-08,0.7
Waltham-asian,2022-08,0.65
Waltham-black,2022-08,0.71
Waltham-hispanic,2022-08,0.59
Waltham-white,2022-08,0.71
Worcester-asian,2022-08,0.69
Worcester-black,2022-08,0.57
Worcester-hispanic,2022-08,0.55
Worcester-white,2022-08,0.63
Bellingham-asian,2022-09,0.61
Bellingham-black,2022-09,0.73
Bellingham-hispanic,2022-09,0.87
Bellingham-white,2022-09,0.64
Chelsea-asian,2022-09,0.83
Chelsea-black,2022-09,0.58
Chelsea-hispanic,2022-09,0.73
Chelsea-white,2022-09,0.81
Chicopee-asian,2022-09,0.6
Chicopee-black,2022-09,0.56
Chicopee-hispanic,2022-09,0.47
Chicopee-white,2022-09,0.67
Everett-asian,2022-09,0.73
Everett-black,2022-09,0.44
Everett-hispanic,2022-09,0.63
Everett-white,2022-09,0.71
Fitchburg-asian,2022-09,0.7
Fitchburg-black,2022-09,0.56
Fitchburg-hispanic,2022-09,0.52
Fitchburg-white,2022-09,0.63
Haverhill-asian,2022-09,0.66
Haverhill-black,2022-09,0.65
Haverhill-hispanic,2022-09,0.5
Haverhill-white,2022-09,0.69
Holyoke-asian,2022-09,0.71
Holyoke-black,2022-09,0.63
Holyoke-hispanic,2022-09,0.48
Holyoke-white,2022-09,0.76
Lawrence-asian,2022-09,0.68
Lawrence-black,2022-09,1.0
Lawrence-hispanic,2022-09,0.52
Lawrence-white,2022-09,1.0
Leominster-asian,2022-09,0.73
Leominster-black,2022-09,0.65
Leominster-hispanic,2022-09,0.6
Leominster-white,2022-09,0.75
Lynn-asian,2022-09,0.76
Lynn-black,2022-09,0.6
Lynn-hispanic,2022-09,0.63
Lynn-white,2022-09,0.79
Marlborough-asian,2022-09,0.58
Marlborough-black,2022-09,0.64
Marlborough-hispanic,2022-09,0.94
Marlborough-white,2022-09,0.67
Methuen-asian,2022-09,0.6
Methuen-black,2022-09,0.78
Methuen-hispanic,2022-09,0.53
Methuen-white,2022-09,0.64
Milford-asian,2022-09,0.57
Milford-black,2022-09,0.75
Milford-hispanic,2022-09,1.0
Milford-white,2022-09,0.71
New Bedford-asian,2022-09,0.57
New Bedford-black,2022-09,0.63
New Bedford-hispanic,2022-09,0.56
New Bedford-white,2022-09,0.54
Peabody-asian,2022-09,0.68
Peabody-black,2022-09,0.68
Peabody-hispanic,2022-09,0.71
Peabody-white,2022-09,0.71
Revere-asian,2022-09,0.77
Revere-black,2022-09,0.61
Revere-hispanic,2022-09,0.72
Revere-white,2022-09,0.71
Southbridge-asian,2022-09,0.63
Southbridge-black,2022-09,0.62
Southbridge-hispanic,2022-09,0.75
Southbridge-white,2022-09,0.55
Springfield-asian,2022-09,0.67
Springfield-black,2022-09,0.57
Springfield-hispanic,2022-09,0.47
Springfield-white,2022-09,0.71
Waltham-asian,2022-09,0.66
Waltham-black,2022-09,0.71
Waltham-hispanic,2022-09,0.59
Waltham-white,2022-09,0.72
Worcester-asian,2022-09,0.7
Worcester-black,2022-09,0.57
Worcester-hispanic,2022-09,0.56
Worcester-white,2022-09,0.64
Bellingham-asian,2022-10,0.62
Bellingham-black,2022-10,0.73
Bellingham-hispanic,2022-10,0.9
Bellingham-white,2022-10,0.64
Chelsea-asian,2022-10,0.84
Chelsea-black,2022-10,0.58
Chelsea-hispanic,2022-10,0.73
Chelsea-white,2022-10,0.81
Chicopee-asian,2022-10,0.6
Chicopee-black,2022-10,0.56
Chicopee-hispanic,2022-10,0.48
Chicopee-white,2022-10,0.67
Everett-asian,2022-10,0.74
Everett-black,2022-10,0.44
Everett-hispanic,2022-10,0.64
Everett-white,2022-10,0.71
Fitchburg-asian,2022-10,0.7
Fitchburg-black,2022-10,0.56
Fitchburg-hispanic,2022-10,0.52
Fitchburg-white,2022-10,0.64
Haverhill-asian,2022-10,0.66
Haverhill-black,2022-10,0.65
Haverhill-hispanic,2022-10,0.51
Haverhill-white,2022-10,0.69
Holyoke-asian,2022-10,0.71
Holyoke-black,2022-10,0.64
Holyoke-hispanic,2022-10,0.48
Holyoke-white,2022-10,0.77
Lawrence-asian,2022-10,0.68
Lawrence-black,2022-10,1.0
Lawrence-hispanic,2022-10,0.53
Lawrence-white,2022-10,1.0
Leominster-asian,2022-10,0.73
Leominster-black,2022-10,0.66
Leominster-hispanic,2022-10,0.6
Leominster-white,2022-10,0.75
Lynn-asian,2022-10,0.76
Lynn-black,2022-10,0.61
Lynn-hispanic,2022-10,0.64
Lynn-white,2022-10,0.8
Marlborough-asian,2022-10,0.58
Marlborough-black,2022-10,0.65
Marlborough-hispanic,2022-10,0.94
Marlborough-white,2022-10,0.67
Methuen-asian,2022-10,0.61
Methuen-black,2022-10,0.79
Methuen-hispanic,2022-10,0.54
Methuen-white,2022-10,0.65
Milford-asian,2022-10,0.58
Milford-black,2022-10,0.75
Milford-hispanic,2022-10,1.0
Milford-white,2022-10,0.72
New Bedford-asian,2022-10,0.57
New Bedford-black,2022-10,0.63
New Bedford-hispanic,2022-10,0.57
New Bedford-white,2022-10,0.55
Peabody-asian,2022-10,0.69
Peabody-black,2022-10,0.68
Peabody-hispanic,2022-10,0.71
Peabody-white,2022-10,0.71
Revere-asian,2022-10,0.78
Revere-black,2022-10,0.61
Revere-hispanic,2022-10,0.72
Revere-white,2022-10,0.71
Southbridge-asian,2022-10,0.63
Southbridge-black,2022-10,0.62
Southbridge-hispanic,2022-10,0.76
Southbridge-white,2022-10,0.55
Springfield-asian,2022-10,0.67
Springfield-black,2022-10,0.57
Springfield-hispanic,2022-10,0.47
Springfield-white,2022-10,0.72
Waltham-asian,2022-10,0.67
Waltham-black,2022-10,0.72
Waltham-hispanic,2022-10,0.6
Waltham-white,2022-10,0.72
Worcester-asian,2022-10,0.7
Worcester-black,2022-10,0.58
Worcester-hispanic,2022-10,0.56
Worcester-white,2022-10,0.64
Bellingham-asian,2022-11,0.63
Bellingham-black,2022-11,0.73
Bellingham-hispanic,2022-11,0.9
Bellingham-white,2022-11,0.64
Chelsea-asian,2022-11,0.85
Chelsea-black,2022-11,0.59
Chelsea-hispanic,2022-11,0.74
Chelsea-white,2022-11,0.82
Chicopee-asian,2022-11,0.6
Chicopee-black,2022-11,0.56
Chicopee-hispanic,2022-11,0.48
Chicopee-white,2022-11,0.67
Everett-asian,2022-11,0.74
Everett-black,2022-11,0.44
Everett-hispanic,2022-11,0.64
Everett-white,2022-11,0.72
Fitchburg-asian,2022-11,0.7
Fitchburg-black,2022-11,0.57
Fitchburg-hispanic,2022-11,0.53
Fitchburg-white,2022-11,0.64
Haverhill-asian,2022-11,0.66
Haverhill-black,2022-11,0.65
Haverhill-hispanic,2022-11,0.51
Haverhill-white,2022-11,0.7
Holyoke-asian,2022-11,0.71
Holyoke-black,2022-11,0.64
Holyoke-hispanic,2022-11,0.48
Holyoke-white,2022-11,0.78
Lawrence-asian,2022-11,0.68
Lawrence-black,2022-11,1.0
Lawrence-hispanic,2022-11,0.53
Lawrence-white,2022-11,1.0
Leominster-asian,2022-11,0.73
Leominster-black,2022-11,0.66
Leominster-hispanic,2022-11,0.6
Leominster-white,2022-11,0.75
Lynn-asian,2022-11,0.77
Lynn-black,2022-11,0.61
Lynn-hispanic,2022-11,0.64
Lynn-white,2022-11,0.8
Marlborough-asian,2022-11,0.58
Marlborough-black,2022-11,0.65
Marlborough-hispanic,2022-11,0.94
Marlborough-white,2022-11,0.68
Methuen-asian,2022-11,0.61
Methuen-black,2022-11,0.79
Methuen-hispanic,2022-11,0.54
Methuen-white,2022-11,0.65
Milford-asian,2022-11,0.59
Milford-black,2022-11,0.75
Milford-hispanic,2022-11,1.0
Milford-white,2022-11,0.72
New Bedford-asian,2022-11,0.57
New Bedford-black,2022-11,0.63
New Bedford-hispanic,2022-11,0.57
New Bedford-white,2022-11,0.55
Peabody-asian,2022-11,0.7
Peabody-black,2022-11,0.69
Peabody-hispanic,2022-11,0.72
Peabody-white,2022-11,0.72
Revere-asian,2022-11,0.78
Revere-black,2022-11,0.61
Revere-hispanic,2022-11,0.73
Revere-white,2022-11,0.71
Southbridge-asian,2022-11,0.63
Southbridge-black,2022-11,0.63
Southbridge-hispanic,2022-11,0.77
Southbridge-white,2022-11,0.55
Springfield-asian,2022-11,0.67
Springfield-black,2022-11,0.57
Springfield-hispanic,2022-11,0.47
Springfield-white,2022-11,0.72
Waltham-asian,2022-11,0.68
Waltham-black,2022-11,0.72
Waltham-hispanic,2022-11,0.6
Waltham-white,2022-11,0.73
Worcester-asian,2022-11,0.7
Worcester-black,2022-11,0.58
Worcester-hispanic,2022-11,0.56
Worcester-white,2022-11,0.64
Bellingham-asian,2022-12,0.64
Bellingham-black,2022-12,0.73
Bellingham-hispanic,2022-12,0.9
Bellingham-white,2022-12,0.64
Chelsea-asian,2022-12,0.85
Chelsea-black,2022-12,0.59
Chelsea-hispanic,2022-12,0.74
Chelsea-white,2022-12,0.83
Chicopee-asian,2022-12,0.6
Chicopee-black,2022-12,0.57
Chicopee-hispanic,2022-12,0.48
Chicopee-white,2022-12,0.68
Everett-asian,2022-12,0.75
Everett-black,2022-12,0.44
Everett-hispanic,2022-12,0.64
Everett-white,2022-12,0.72
Fitchburg-asian,2022-12,0.7
Fitchburg-black,2022-12,0.57
Fitchburg-hispanic,2022-12,0.53
Fitchburg-white,2022-12,0.64
Haverhill-asian,2022-12,0.66
Haverhill-black,2022-12,0.65
Haverhill-hispanic,2022-12,0.51
Haverhill-white,2022-12,0.7
Holyoke-asian,2022-12,0.71
Holyoke-black,2022-12,0.65
Holyoke-hispanic,2022-12,0.48
Holyoke-white,2022-12,0.78
Lawrence-asian,2022-12,0.68
Lawrence-black,2022-12,1.0
Lawrence-hispanic,2022-12,0.53
Lawrence-white,2022-12,1.0
Leominster-asian,2022-12,0.74
Leominster-black,2022-12,0.67
Leominster-hispanic,2022-12,0.61
Leominster-white,2022-12,0.75
Lynn-asian,2022-12,0.77
Lynn-black,2022-12,0.61
Lynn-hispanic,2022-12,0.64
Lynn-white,2022-12,0.8
Marlborough-asian,2022-12,0.58
Marlborough-black,2022-12,0.65
Marlborough-hispanic,2022-12,0.94
Marlborough-white,2022-12,0.68
Methuen-asian,2022-12,0.61
Methuen-black,2022-12,0.8
Methuen-hispanic,2022-12,0.54
Methuen-white,2022-12,0.65
Milford-asian,2022-12,0.6
Milford-black,2022-12,0.75
Milford-hispanic,2022-12,1.0
Milford-white,2022-12,0.73
New Bedford-asian,2022-12,0.57
New Bedford-black,2022-12,0.63
New Bedford-hispanic,2022-12,0.58
New Bedford-white,2022-12,0.55
Peabody-asian,2022-12,0.7
Peabody-black,2022-12,0.69
Peabody-hispanic,2022-12,0.72
Peabody-white,2022-12,0.72
Revere-asian,2022-12,0.79
Revere-black,2022-12,0.61
Revere-hispanic,2022-12,0.73
Revere-white,2022-12,0.71
Southbridge-asian,2022-12,0.63
Southbridge-black,2022-12,0.64
Southbridge-hispanic,2022-12,0.77
Southbridge-white,2022-12,0.55
Springfield-asian,2022-12,0.67
Springfield-black,2022-12,0.58
Springfield-hispanic,2022-12,0.47
Springfield-white,2022-12,0.73
Waltham-asian,2022-12,0.68
Waltham-black,2022-12,0.72
Waltham-hispanic,2022-12,0.6
Waltham-white,2022-12,0.73
Worcester-asian,2022-12,0.7
Worcester-black,2022-12,0.59
Worcester-hispanic,2022-12,0.57
Worcester-white,2022-12,0.64
Bellingham-asian,2023-01,0.65
Bellingham-black,2023-01,0.73
Bellingham-hispanic,2023-01,0.9
Bellingham-white,2023-01,0.65
Chelsea-asian,2023-01,0.86
Chelsea-black,2023-01,0.59
Chelsea-hispanic,2023-01,0.74
Chelsea-white,2023-01,0.83
Chicopee-asian,2023-01,0.6
Chicopee-black,2023-01,0.57
Chicopee-hispanic,2023-01,0.48
Chicopee-white,2023-01,0.68
Everett-asian,2023-01,0.75
Everett-black,2023-01,0.45
Everett-hispanic,2023-01,0.65
Everett-white,2023-01,0.72
Fitchburg-asian,2023-01,0.7
Fitchburg-black,2023-01,0.58
Fitchburg-hispanic,2023-01,0.53
Fitchburg-white,2023-01,0.64
Haverhill-asian,2023-01,0.67
Haverhill-black,2023-01,0.66
Haverhill-hispanic,2023-01,0.52
Haverhill-white,2023-01,0.7
Holyoke-asian,2023-01,0.71
Holyoke-black,2023-01,0.65
Holyoke-hispanic,2023-01,0.49
Holyoke-white,2023-01,0.78
Lawrence-asian,2023-01,0.68
Lawrence-black,2023-01,1.0
Lawrence-hispanic,2023-01,0.54
Lawrence-white,2023-01,1.0
Leominster-asian,2023-01,0.74
Leominster-black,2023-01,0.67
Leominster-hispanic,2023-01,0.61
Leominster-white,2023-01,0.76
Lynn-asian,2023-01,0.77
Lynn-black,2023-01,0.62
Lynn-hispanic,2023-01,0.65
Lynn-white,2023-01,0.8
Marlborough-asian,2023-01,0.58
Marlborough-black,2023-01,0.65
Marlborough-hispanic,2023-01,0.94
Marlborough-white,2023-01,0.68
Methuen-asian,2023-01,0.62
Methuen-black,2023-01,0.8
Methuen-hispanic,2023-01,0.55
Methuen-white,2023-01,0.65
Milford-asian,2023-01,0.6
Milford-black,2023-01,0.75
Milford-hispanic,2023-01,1.0
Milford-white,2023-01,0.73
New Bedford-asian,2023-01,0.57
New Bedford-black,2023-01,0.63
New Bedford-hispanic,2023-01,0.58
New Bedford-white,2023-01,0.55
Peabody-asian,2023-01,0.7
Peabody-black,2023-01,0.69
Peabody-hispanic,2023-01,0.72
Peabody-white,2023-01,0.72
Revere-asian,2023-01,0.79
Revere-black,2023-01,0.61
Revere-hispanic,2023-01,0.74
Revere-white,2023-01,0.71
Southbridge-asian,2023-01,0.63
Southbridge-black,2023-01,0.64
Southbridge-hispanic,2023-01,0.77
Southbridge-white,2023-01,0.55
Springfield-asian,2023-01,0.67
Springfield-black,2023-01,0.58
Springfield-hispanic,2023-01,0.48
Springfield-white,2023-01,0.73
Waltham-asian,2023-01,0.69
Waltham-black,2023-01,0.72
Waltham-hispanic,2023-01,0.61
Waltham-white,2023-01,0.73
Worcester-asian,2023-01,0.7
Worcester-black,2023-01,0.59
Worcester-hispanic,2023-01,0.57
Worcester-white,2023-01,0.65
Bellingham-asian,2023-02,0.65
Bellingham-black,2023-02,0.73
Bellingham-hispanic,2023-02,0.9
Bellingham-white,2023-02,0.65
Chelsea-asian,2023-02,0.86
Chelsea-black,2023-02,0.59
Chelsea-hispanic,2023-02,0.74
Chelsea-white,2023-02,0.83
Chicopee-asian,2023-02,0.6
Chicopee-black,2023-02,0.57
Chicopee-hispanic,2023-02,0.49
Chicopee-white,2023-02,0.68
Everett-asian,2023-02,0.75
Everett-black,2023-02,0.45
Everett-hispanic,2023-02,0.66
Everett-white,2023-02,0.72
Fitchburg-asian,2023-02,0.7
Fitchburg-black,2023-02,0.59
Fitchburg-hispanic,2023-02,0.54
Fitchburg-white,2023-02,0.65
Haverhill-asian,2023-02,0.67
Haverhill-black,2023-02,0.66
Haverhill-hispanic,2023-02,0.52
Haverhill-white,2023-02,0.7
Holyoke-asian,2023-02,0.71
Holyoke-black,2023-02,0.66
Holyoke-hispanic,2023-02,0.49
Holyoke-white,2023-02,0.79
Lawrence-asian,2023-02,0.68
Lawrence-black,2023-02,1.0
Lawrence-hispanic,2023-02,0.54
Lawrence-white,2023-02,1.0
Leominster-asian,2023-02,0.75
Leominster-black,2023-02,0.67
Leominster-hispanic,2023-02,0.61
Leominster-white,2023-02,0.76
Lynn-asian,2023-02,0.77
Lynn-black,2023-02,0.62
Lynn-hispanic,2023-02,0.65
Lynn-white,2023-02,0.8
Marlborough-asian,2023-02,0.58
Marlborough-black,2023-02,0.65
Marlborough-hispanic,2023-02,0.94
Marlborough-white,2023-02,0.68
Methuen-asian,2023-02,0.62
Methuen-black,2023-02,0.8
Methuen-hispanic,2023-02,0.55
Methuen-white,2023-02,0.65
Milford-asian,2023-02,0.6
Milford-black,2023-02,0.75
Milford-hispanic,2023-02,1.0
Milford-white,2023-02,0.73
New Bedford-asian,2023-02,0.57
New Bedford-black,2023-02,0.63
New Bedford-hispanic,2023-02,0.58
New Bedford-white,2023-02,0.55
Peabody-asian,2023-02,0.7
Peabody-black,2023-02,0.7
Peabody-hispanic,2023-02,0.72
Peabody-white,2023-02,0.72
Revere-asian,2023-02,0.79
Revere-black,2023-02,0.61
Revere-hispanic,2023-02,0.74
Revere-white,2023-02,0.71
Southbridge-asian,2023-02,0.63
Southbridge-black,2023-02,0.65
Southbridge-hispanic,2023-02,0.78
Southbridge-white,2023-02,0.55
Springfield-asian,2023-02,0.67
Springfield-black,2023-02,0.58
Springfield-hispanic,2023-02,0.48
Springfield-white,2023-02,0.73
Waltham-asian,2023-02,0.69
Waltham-black,2023-02,0.72
Waltham-hispanic,2023-02,0.61
Waltham-white,2023-02,0.73
Worcester-asian,2023-02,0.71
Worcester-black,2023-02,0.59
Worcester-hispanic,2023-02,0.57
Worcester-white,2023-02,0.65
Bellingham-asian,2023-03,0.65
Bellingham-black,2023-03,0.73
Bellingham-hispanic,2023-03,0.9
Bellingham-white,2023-03,0.65
Chelsea-asian,2023-03,0.86
Chelsea-black,2023-03,0.6
Chelsea-hispanic,2023-03,0.75
Chelsea-white,2023-03,0.83
Chicopee-asian,2023-03,0.6
Chicopee-black,2023-03,0.58
Chicopee-hispanic,2023-03,0.49
Chicopee-white,2023-03,0.68
Everett-asian,2023-03,0.75
Everett-black,2023-03,0.45
Everett-hispanic,2023-03,0.66
Everett-white,2023-03,0.72
Fitchburg-asian,2023-03,0.71
Fitchburg-black,2023-03,0.59
Fitchburg-hispanic,2023-03,0.54
Fitchburg-white,2023-03,0.65
Haverhill-asian,2023-03,0.67
Haverhill-black,2023-03,0.66
Haverhill-hispanic,2023-03,0.53
Haverhill-white,2023-03,0.7
Holyoke-asian,2023-03,0.71
Holyoke-black,2023-03,0.66
Holyoke-hispanic,2023-03,0.49
Holyoke-white,2023-03,0.79
Lawrence-asian,2023-03,0.68
Lawrence-black,2023-03,1.0
Lawrence-hispanic,2023-03,0.55
Lawrence-white,2023-03,1.0
Leominster-asian,2023-03,0.75
Leominster-black,2023-03,0.67
Leominster-hispanic,2023-03,0.62
Leominster-white,2023-03,0.76
Lynn-asian,2023-03,0.77
Lynn-black,2023-03,0.62
Lynn-hispanic,2023-03,0.65
Lynn-white,2023-03,0.8
Marlborough-asian,2023-03,0.58
Marlborough-black,2023-03,0.65
Marlborough-hispanic,2023-03,0.94
Marlborough-white,2023-03,0.68
Methuen-asian,2023-03,0.62
Methuen-black,2023-03,0.8
Methuen-hispanic,2023-03,0.56
Methuen-white,2023-03,0.65
Milford-asian,2023-03,0.61
Milford-black,2023-03,0.76
Milford-hispanic,2023-03,1.0
Milford-white,2023-03,0.73
New Bedford-asian,2023-03,0.57
New Bedford-black,2023-03,0.63
New Bedford-hispanic,2023-03,0.59
New Bedford-white,2023-03,0.55
Peabody-asian,2023-03,0.7
Peabody-black,2023-03,0.7
Peabody-hispanic,2023-03,0.72
Peabody-white,2023-03,0.72
Revere-asian,2023-03,0.79
Revere-black,2023-03,0.61
Revere-hispanic,2023-03,0.74
Revere-white,2023-03,0.71
Southbridge-asian,2023-03,0.63
Southbridge-black,2023-03,0.65
Southbridge-hispanic,2023-03,0.78
Southbridge-white,2023-03,0.55
Springfield-asian,2023-03,0.67
Springfield-black,2023-03,0.59
Springfield-hispanic,2023-03,0.48
Springfield-white,2023-03,0.73
Waltham-asian,2023-03,0.69
Waltham-black,2023-03,0.72
Waltham-hispanic,2023-03,0.61
Waltham-white,2023-03,0.73
Worcester-asian,2023-03,0.71
Worcester-black,2023-03,0.59
Worcester-hispanic,2023-03,0.58
Worcester-white,2023-03,0.65
Bellingham-asian,2023-04,0.72
Bellingham-black,2023-04,0.79
Bellingham-hispanic,2023-04,0.98
Bellingham-white,2023-04,0.69
Chelsea-asian,2023-04,0.9
Chelsea-black,2023-04,0.62
Chelsea-hispanic,2023-04,0.77
Chelsea-white,2023-04,0.85
Chicopee-asian,2023-04,0.63
Chicopee-black,2023-04,0.59
Chicopee-hispanic,2023-04,0.5
Chicopee-white,2023-04,0.69
Everett-asian,2023-04,0.78
Everett-black,2023-04,0.47
Everett-hispanic,2023-04,0.68
Everett-white,2023-04,0.74
Fitchburg-asian,2023-04,0.72
Fitchburg-black,2023-04,0.62
Fitchburg-hispanic,2023-04,0.55
Fitchburg-white,2023-04,0.66
Haverhill-asian,2023-04,0.7
Haverhill-black,2023-04,0.69
Haverhill-hispanic,2023-04,0.55
Haverhill-white,2023-04,0.72
Holyoke-asian,2023-04,0.74
Holyoke-black,2023-04,0.67
Holyoke-hispanic,2023-04,0.51
Holyoke-white,2023-04,0.8
Lawrence-asian,2023-04,0.7
Lawrence-black,2023-04,1.0
Lawrence-hispanic,2023-04,0.57
Lawrence-white,2023-04,1.0
Leominster-asian,2023-04,0.77
Leominster-black,2023-04,0.7
Leominster-hispanic,2023-04,0.65
Leominster-white,2023-04,0.77
Lynn-asian,2023-04,0.79
Lynn-black,2023-04,0.64
Lynn-hispanic,2023-04,0.69
Lynn-white,2023-04,0.82
Marlborough-asian,2023-04,0.6
Marlborough-black,2023-04,0.69
Marlborough-hispanic,2023-04,0.94
Marlborough-white,2023-04,0.7
Methuen-asian,2023-04,0.64
Methuen-black,2023-04,0.83
Methuen-hispanic,2023-04,0.58
Methuen-white,2023-04,0.67
Milford-asian,2023-04,0.64
Milford-black,2023-04,0.79
Milford-hispanic,2023-04,1.0
Milford-white,2023-04,0.76
New Bedford-asian,2023-04,0.59
New Bedford-black,2023-04,0.63
New Bedford-hispanic,2023-04,0.63
New Bedford-white,2023-04,0.57
Peabody-asian,2023-04,0.74
Peabody-black,2023-04,0.74
Peabody-hispanic,2023-04,0.76
Peabody-white,2023-04,0.74
Revere-asian,2023-04,0.82
Revere-black,2023-04,0.64
Revere-hispanic,2023-04,0.76
Revere-white,2023-04,0.73
Southbridge-asian,2023-04,0.63
Southbridge-black,2023-04,0.66
Southbridge-hispanic,2023-04,0.8
Southbridge-white,2023-04,0.56
Springfield-asian,2023-04,0.69
Springfield-black,2023-04,0.6
Springfield-hispanic,2023-04,0.5
Springfield-white,2023-04,0.75
Waltham-asian,2023-04,0.71
Waltham-black,2023-04,0.76
Waltham-hispanic,2023-04,0.64
Waltham-white,2023-04,0.75
Worcester-asian,2023-04,0.74
Worcester-black,2023-04,0.61
Worcester-hispanic,2023-04,0.6
Worcester-white,2023-04,0.66
